LATR_ID,Date_Defecation,Event_defecation_n,Event_Interaction,Date_Interaction,Days_after_defecation,Species,Interactions_Seconds,Interactions_N,Interactions,Interaction_type
LATR_002,1/8/2022,1,1,1/14/2022,6,Tinamus_solitarius,10,1,1,foraging
LATR_002,1/8/2022,1,2,1/25/2022,17,Tinamus_solitarius,53,7,1,foraging
LATR_002,1/8/2022,1,2,1/25/2022,17,Tinamus_solitarius,53,7,1,foraging
LATR_002,1/8/2022,1,2,1/25/2022,17,Tinamus_solitarius,53,7,1,foraging
LATR_002,1/8/2022,1,2,1/25/2022,17,Tinamus_solitarius,53,7,1,foraging
LATR_002,1/8/2022,1,2,1/25/2022,17,Tinamus_solitarius,53,7,1,foraging
LATR_002,1/8/2022,1,2,1/25/2022,17,Tinamus_solitarius,53,7,1,foraging
LATR_002,1/8/2022,1,2,1/25/2022,17,Tinamus_solitarius,53,7,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,3,2/2/2022,25,Odontophorus_capueira,233,24,1,foraging
LATR_002,1/8/2022,1,4,2/4/2022,27,Guerlinguetus_brasiliensis,36,4,1,foraging
LATR_002,1/8/2022,1,4,2/4/2022,27,Guerlinguetus_brasiliensis,36,4,1,foraging
LATR_002,1/8/2022,1,4,2/4/2022,27,Guerlinguetus_brasiliensis,36,4,1,foraging
LATR_002,1/8/2022,1,4,2/4/2022,27,Guerlinguetus_brasiliensis,36,4,1,foraging
LATR_002,1/8/2022,1,5,2/6/2022,29,Guerlinguetus_brasiliensis,10,1,1,foraging
LATR_002,2/10/2022,1,1,2/11/2022,1,Chamaeza_campanisona,10,1,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
LATR_002,2/10/2022,1,2,2/11/2022,1,Guerlinguetus_brasiliensis,188,25,1,foraging
